Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,02/27/2026,"Zelle payment to Cristiano JPM99c7775tk",-800.00,CHASE_TO_PARTNERFI,1645.45,,
DEBIT,02/26/2026,"WISPR WISPRFLOW.AI CA                        02/25",-15.00,DEBIT_CARD,2445.45,,
DEBIT,02/26/2026,"TWILIO INC TWILIO.COM CA                     02/25",-90.01,DEBIT_CARD,2460.45,,
DEBIT,02/25/2026,"ORIG CO NAME:Wise Inc               ORIG ID:9453233521 DESC DATE:260225 CO ENTRY DESCR:WISE      SEC:CCD    TRACE#:021000023149776 EED:260225   IND ID:TrnWise                      IND NAME:Waiz Media                 90080196                                                                          90080196 TRN: 0563149776TC",-100.17,MISC_DEBIT,2550.46,,
DEBIT,02/25/2026,"TWILIO INC TWILIO.COM CA                     02/24",-91.34,DEBIT_CARD,2650.63,,
DEBIT,02/24/2026,"ORIG CO NAME:Wise Inc               ORIG ID:9453233521 DESC DATE:260224 CO ENTRY DESCR:WISE      SEC:CCD    TRACE#:021000023670237 EED:260224   IND ID:TrnWise                      IND NAME:Waiz Media                 89949205                                                                          89949205 TRN: 0553670237TC",-200.34,MISC_DEBIT,2741.97,,
DEBIT,02/24/2026,"HIGHLEVEL INC. GOHIGHLEVEL.C TX              02/24",-100.00,DEBIT_CARD,2942.31,,
DEBIT,02/23/2026,"WEBFLOW.COM WEBFLOW.COM CA                   02/21",-29.00,DEBIT_CARD,3042.31,,
DEBIT,02/23/2026,"M&M HELTON ENTERPRIS HOTPROSPECTOR NV        02/20",-40.00,DEBIT_CARD,3071.31,,
DEBIT,02/23/2026,"TWILIO INC TWILIO.COM CA                     02/21",-90.00,DEBIT_CARD,3111.31,,
DEBIT,02/20/2026,"Online Realtime Transfer to Gabes Personal  6302 transaction#: 28139895458 reference#: 9139895458RX 02/20",-1000.00,ACCT_XFER,3201.31,,
DEBIT,02/20/2026,"TWILIO INC TWILIO.COM CA                     02/20",-90.04,DEBIT_CARD,4201.31,,
DEBIT,02/19/2026,"ORIG CO NAME:AMERICAN EXPRESS       ORIG ID:2005032111 DESC DATE:260219 CO ENTRY DESCR:ACH PMT   SEC:CCD    TRACE#:021000023276056 EED:260219   IND ID:W7950                        IND NAME:GABRIEL GOERTZEN                                                                                             ER AM TRN: 0503276056TC",-3067.01,ACH_DEBIT,4291.35,,
DEBIT,02/19/2026,"HIGHLEVEL AGENCY SUB GOHIGHLEVEL.C TX        02/18",-297.00,DEBIT_CARD,7358.36,,
DEBIT,02/19/2026,"TWILIO INC TWILIO.COM CA                     02/18",-90.01,DEBIT_CARD,7655.36,,
DEBIT,02/18/2026,"HIGHLEVEL INC. GOHIGHLEVEL.C TX              02/18",-100.00,DEBIT_CARD,7745.37,,
DEBIT,02/17/2026,"ORIG CO NAME:Wise Inc               ORIG ID:9453233521 DESC DATE:260217 CO ENTRY DESCR:WISE      SEC:CCD    TRACE#:021000026150691 EED:260217   IND ID:TrnWise                      IND NAME:Waiz Media                 89377476                                                                          89377476 TRN: 0486150691TC",-100.17,MISC_DEBIT,7845.37,,
DEBIT,02/17/2026,"ORIG CO NAME:Wise Inc               ORIG ID:9453233521 DESC DATE:260217 CO ENTRY DESCR:WISE      SEC:CCD    TRACE#:021000026141964 EED:260217   IND ID:TrnWise                      IND NAME:Waiz Media                 89427327                                                                          89427327 TRN: 0486141964TC",-150.26,MISC_DEBIT,7945.54,,
DEBIT,02/17/2026,"CLOSEBOT WWW.CLOSEBOT. WA                    02/16",-197.00,DEBIT_CARD,8095.80,,
DEBIT,02/17/2026,"HIGHLEVEL INC. GOHIGHLEVEL.C TX              02/14",-105.50,DEBIT_CARD,8292.80,,
DEBIT,02/17/2026,"TWILIO INC TWILIO.COM CA                     02/15",-90.13,DEBIT_CARD,8398.30,,
DEBIT,02/17/2026,"TWILIO INC TWILIO.COM CA                     02/14",-90.00,DEBIT_CARD,8488.43,,
DEBIT,02/13/2026,"CLOSEBOT WWW.CLOSEBOT. WA                    02/12",-40.96,DEBIT_CARD,8578.43,,
DEBIT,02/12/2026,"ORIG CO NAME:Wise Inc               ORIG ID:9453233521 DESC DATE:260212 CO ENTRY DESCR:WISE      SEC:CCD    TRACE#:021000021916829 EED:260212   IND ID:TrnWise                      IND NAME:Waiz Media                 89236769                                                                          89236769 TRN: 0431916829TC",-100.17,MISC_DEBIT,8619.39,,
DEBIT,02/12/2026,"ORIG CO NAME:Wise Inc               ORIG ID:9453233521 DESC DATE:260212 CO ENTRY DESCR:WISE      SEC:CCD    TRACE#:021000028583726 EED:260212   IND ID:TrnWise                      IND NAME:Waiz Media                 89195445                                                                          89195445 TRN: 0438583726TC",-506.11,MISC_DEBIT,8719.56,,
DEBIT,02/12/2026,"SQSP* DOMAIN#2219474 SQUARESPACE.C NY        02/12",-13.00,DEBIT_CARD,9225.67,,
DEBIT,02/12/2026,"TWILIO INC TWILIO.COM CA                     02/11",-90.05,DEBIT_CARD,9238.67,,
DEBIT,02/09/2026,"ORIG CO NAME:Wise Inc               ORIG ID:9453233521 DESC DATE:260209 CO ENTRY DESCR:WISE      SEC:CCD    TRACE#:021000021774882 EED:260209   IND ID:TrnWise                      IND NAME:Waiz Media                 89023287                                                                          89023287 TRN: 0401774882TC",-991.68,MISC_DEBIT,9328.72,,
DEBIT,02/09/2026,"Online Realtime Transfer to Gabes Personal  6302 transaction#: 28010056552 reference#: 9010056552RX 02/09",-2000.00,ACCT_XFER,10320.40,,
DEBIT,02/09/2026,"HIGHLEVEL INC. GOHIGHLEVEL.C TX              02/09",-100.00,DEBIT_CARD,12320.40,,
DEBIT,02/09/2026,"TWILIO INC TWILIO.COM CA                     02/08",-91.15,DEBIT_CARD,12420.40,,
DEBIT,02/09/2026,"SLACK T07E9KEFKEH SLACK.COM CA               02/07",-100.20,DEBIT_CARD,12511.55,,
DEBIT,02/09/2026,"M&M HELTON ENTERPRIS HOTPROSPECTOR NV        02/07",-372.50,DEBIT_CARD,12611.75,,
DEBIT,02/09/2026,"TWILIO INC TWILIO.COM CA                     02/06",-90.04,DEBIT_CARD,12984.25,,
CREDIT,02/09/2026,"REAL TIME PAYMENT CREDIT RECD FROM ABA/CONTR BNK-121000248  FROM: GABRIEL GOERTZEN/STRIPE PAYMENTS COMPAN REF: ST-MPVWUFGCJLRW10XXR INFO: TEXT-RmtInf-ST-MPVWUFGCJLRW10XXRISU WAIZMEDIA LLC IID: 20260207121000248P1BPEAO70263455257 RECD: 09:48:57 TRN: 0435752038GB",6371.36,MISC_CREDIT,13074.29,,
DEBIT,02/06/2026,"ORIG CO NAME:fathom.video           ORIG ID:4270465600 DESC DATE:       CO ENTRY DESCR:FATHOM.VIDSEC:WEB    TRACE#:111000026836230 EED:260206   IND ID:ST-P5Y4O7L5K9O6              IND NAME:WAIZ MEDIA LLC TRN: 0376836230TC",-20.00,MISC_DEBIT,6702.93,,
CREDIT,02/06/2026,"ORIG CO NAME:STRIPE                 ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000010401068 EED:260206   IND ID:ST-N0G0R5O1W7D3              IND NAME:GABRIEL GOERTZEN TRN: 0370401068TC",961.70,ACH_CREDIT,6722.93,,
DEBIT,02/05/2026,"CLOSEBOT WWW.CLOSEBOT. WA                    02/04",-40.40,DEBIT_CARD,5761.23,,
DEBIT,02/05/2026,"PAYPAL *CANVA 416-131-8870 DE                02/04",-6.99,DEBIT_CARD,5801.63,,
DEBIT,02/05/2026,"TWILIO INC TWILIO.COM CA                     02/04",-90.06,DEBIT_CARD,5808.62,,
DEBIT,02/03/2026,"HIGHLEVEL INC. GOHIGHLEVEL.C TX              02/03",-100.00,DEBIT_CARD,5898.68,,
DEBIT,02/03/2026,"Zelle payment to Cindi Walters JPM99c49z3pu",-1003.00,CHASE_TO_PARTNERFI,5998.68,,
DEBIT,02/03/2026,"TWILIO INC TWILIO.COM CA                     02/02",-90.03,DEBIT_CARD,7001.68,,
DEBIT,02/02/2026,"STANDARD ACH PMNTS INITIAL FEE",-2.50,FEE_TRANSACTION,7091.71,,
DEBIT,02/02/2026,"ORIG CO NAME:Wise Inc               ORIG ID:9453233521 DESC DATE:260202 CO ENTRY DESCR:WISE      SEC:CCD    TRACE#:021000021705752 EED:260202   IND ID:TrnWise                      IND NAME:Waiz Media                 88564055                                                                          88564055 TRN: 0331705752TC",-2003.40,MISC_DEBIT,7094.21,,
DEBIT,02/02/2026,"ORIG CO NAME:Wise Inc               ORIG ID:9453233521 DESC DATE:260202 CO ENTRY DESCR:WISE      SEC:CCD    TRACE#:021000027755621 EED:260202   IND ID:TrnWise                      IND NAME:Waiz Media                 88502643                                                                          88502643 TRN: 0337755621TC",-3005.10,MISC_DEBIT,9097.61,,
DEBIT,02/02/2026,"Online Realtime Transfer to Gabes Personal  6302 transaction#: 27920367797 reference#: 9920367797RX 02/02",-500.00,ACCT_XFER,12102.71,,
DEBIT,02/02/2026,"Zelle payment to Simone 27538107503",-43.00,QUICKPAY_DEBIT,12602.71,,
DEBIT,02/02/2026,"TABEXTEND.COM SOLLENTUNA                     01/30",-8.00,DEBIT_CARD,12645.71,,
CREDIT,02/02/2026,"ORIG CO NAME:STRIPE                 ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000017685140 EED:260202   IND ID:ST-K6P9D6X3U5V3              IND NAME:GABRIEL GOERTZEN TRN: 0337685140TC",3300.80,ACH_CREDIT,12653.71,,
CREDIT,02/02/2026,"REAL TIME PAYMENT CREDIT RECD FROM ABA/CONTR BNK-121000248  FROM: GABRIEL GOERTZEN/STRIPE PAYMENTS COMPAN REF: ST-QW0GRSHCTM9JZ9ZMH INFO: TEXT-RmtInf-ST-QW0GRSHCTM9JZ9ZMHIBR WAIZMEDIA LLC IID: 20260202121000248P1BPEAO69581541516 RECD: 15:25:34 TRN: 1321712033GE",8613.27,MISC_CREDIT,9352.91,,
DEBIT,01/30/2026,"MONTHLY SERVICE FEE",-15.00,FEE_TRANSACTION,739.64,,
DEBIT,01/30/2026,"WWW.MAKE.COM WWW.MAKE.COM NY                 01/30",-64.71,DEBIT_CARD,754.64,,
DEBIT,01/30/2026,"TWILIO INC TWILIO.COM CA                     01/30",-90.01,DEBIT_CARD,819.35,,
DEBIT,01/29/2026,"CLOSEBOT WWW.CLOSEBOT. WA                    01/28",-40.40,DEBIT_CARD,909.36,,
DEBIT,01/29/2026,"TWILIO INC TWILIO.COM CA                     01/28",-90.07,DEBIT_CARD,949.76,,
DEBIT,01/28/2026,"ORIG CO NAME:AMERICAN EXPRESS       ORIG ID:9493560001 DESC DATE:260128 CO ENTRY DESCR:ACH PMT   SEC:CCD    TRACE#:021000022235073 EED:260128   IND ID:A7300                        IND NAME:GABRIEL GOERTZEN                                                                                             AM TRN: 0282235073TC",-1156.84,ACH_DEBIT,1039.83,,
DEBIT,01/28/2026,"Online Realtime Transfer to Gabes Personal  6302 transaction#: 27852735991 reference#: 9852735991RX 01/28",-1000.00,ACCT_XFER,2196.67,,
DEBIT,01/28/2026,"WWW.MAKE.COM WWW.MAKE.COM NY                 01/28",-10.13,DEBIT_CARD,3196.67,,
CREDIT,01/28/2026,"ORIG CO NAME:STRIPE                 ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000011502382 EED:260128   IND ID:ST-P4O8L5G0I6H9              IND NAME:GABRIEL GOERTZEN TRN: 0281502382TC",2831.38,ACH_CREDIT,3206.80,,
DEBIT,01/27/2026,"HIGHLEVEL INC. GOHIGHLEVEL.C TX              01/27",-100.00,DEBIT_CARD,375.42,,
DEBIT,01/27/2026,"M&M HELTON ENTERPRIS HOTPROSPECTOR NV        01/26",-40.00,DEBIT_CARD,475.42,,
DEBIT,01/26/2026,"WISPR WISPRFLOW.AI CA                        01/25",-15.00,DEBIT_CARD,515.42,,
DEBIT,01/26/2026,"TWILIO INC TWILIO.COM CA                     01/25",-91.23,DEBIT_CARD,530.42,,
DEBIT,01/26/2026,"TWILIO INC TWILIO.COM CA                     01/23",-90.43,DEBIT_CARD,621.65,,
DEBIT,01/23/2026,"HIGHLEVEL INC. GOHIGHLEVEL.C TX              01/23",-100.00,DEBIT_CARD,712.08,,
DEBIT,01/22/2026,"HIGHLEVEL INC. GOHIGHLEVEL.C TX              01/21",-100.00,DEBIT_CARD,812.08,,
DEBIT,01/22/2026,"TWILIO INC TWILIO.COM CA                     01/22",-90.10,DEBIT_CARD,912.08,,
DEBIT,01/21/2026,"WEBFLOW.COM WEBFLOW.COM CA                   01/21",-29.00,DEBIT_CARD,1002.18,,
DEBIT,01/21/2026,"TWILIO INC TWILIO.COM CA                     01/21",-90.00,DEBIT_CARD,1031.18,,
DEBIT,01/20/2026,"Online Realtime Transfer to Gabes Personal  6302 transaction#: 27764034040 reference#: 9764034040RX 01/20",-600.00,ACCT_XFER,1121.18,,
DEBIT,01/20/2026,"NOTION LABS, INC. NOTION.SO CA               01/19",-22.00,DEBIT_CARD,1721.18,,
DEBIT,01/20/2026,"HIGHLEVEL AGENCY SUB GOHIGHLEVEL.C TX        01/18",-297.00,DEBIT_CARD,1743.18,,
DEBIT,01/20/2026,"HIGHLEVEL INC. GOHIGHLEVEL.C TX              01/18",-100.00,DEBIT_CARD,2040.18,,
DEBIT,01/20/2026,"CLOSEBOT WWW.CLOSEBOT. WA                    01/16",-197.00,DEBIT_CARD,2140.18,,
DEBIT,01/20/2026,"TWILIO INC TWILIO.COM CA                     01/17",-93.88,DEBIT_CARD,2337.18,,
DEBIT,01/20/2026,"TWILIO INC TWILIO.COM CA                     01/16",-90.13,DEBIT_CARD,2431.06,,
DEBIT,01/15/2026,"CLOSEBOT WWW.CLOSEBOT. WA                    01/14",-40.96,DEBIT_CARD,2521.19,,
DEBIT,01/15/2026,"TWILIO INC TWILIO.COM CA                     01/15",-90.03,DEBIT_CARD,2562.15,,
DEBIT,01/14/2026,"Zelle payment to Dmak 27690246056",-10.00,QUICKPAY_DEBIT,2652.18,,
DEBIT,01/14/2026,"Online Realtime Transfer to Gabes Personal  6302 transaction#: 27689805405 reference#: 9689805405RX 01/14",-200.00,ACCT_XFER,2662.18,,
DEBIT,01/14/2026,"TWILIO INC TWILIO.COM CA                     01/13",-90.02,DEBIT_CARD,2862.18,,
DEBIT,01/12/2026,"HIGHLEVEL INC. GOHIGHLEVEL.C TX              01/12",-100.00,DEBIT_CARD,2952.20,,
DEBIT,01/12/2026,"TWILIO INC TWILIO.COM CA                     01/10",-90.05,DEBIT_CARD,3052.20,,
CREDIT,01/12/2026,"ORIG CO NAME:STRIPE                 ORIG ID:4270465600 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:111000025338286 EED:260112   IND ID:ST-E4B5J1H0T5E3              IND NAME:GABRIEL GOERTZEN TRN: 0125338286TC",1639.72,ACH_CREDIT,3142.25,,
DEBIT,01/09/2026,"CLOSEBOT WWW.CLOSEBOT. WA                    01/08",-40.64,DEBIT_CARD,1502.53,,
DEBIT,01/09/2026,"TWILIO INC TWILIO.COM CA                     01/09",-90.01,DEBIT_CARD,1543.17,,
DEBIT,01/08/2026,"Zelle payment to David Rau 27630981115",-12.00,QUICKPAY_DEBIT,1633.18,,
DEBIT,01/08/2026,"Online Transfer 27622125581 to Gabes Personal #####6302 transaction #: 27622125581 01/08",-500.00,ACCT_XFER,1645.18,,
DEBIT,01/08/2026,"OPENAI OPENAI.COM CA                         01/08",-10.00,DEBIT_CARD,2145.18,,
DEBIT,01/08/2026,"TWILIO INC TWILIO.COM CA                     01/08",-90.12,DEBIT_CARD,2155.18,,
DEBIT,01/07/2026,"Online ACH Payment 11202366868 To Isaac (_######6537)",-600.00,ACH_PAYMENT,2245.30,,
DEBIT,01/07/2026,"SLACK T07E9KEFKEH SLACK.COM CA               01/07",-79.02,DEBIT_CARD,2845.30,,
DEBIT,01/07/2026,"M&M HELTON ENTERPRIS HOTPROSPECTOR NV        01/07",-372.75,DEBIT_CARD,2924.32,,
DEBIT,01/07/2026,"TWILIO INC TWILIO.COM CA                     01/06",-90.07,DEBIT_CARD,3297.07,,
DEBIT,01/06/2026,"HIGHLEVEL INC. GOHIGHLEVEL.C TX              01/06",-100.00,DEBIT_CARD,3387.14,,
CREDIT,01/06/2026,"REAL TIME PAYMENT CREDIT RECD FROM ABA/CONTR BNK-121000248  FROM: GABRIEL GOERTZEN/STRIPE PAYMENTS COMPAN REF: ST-HACXSDGAYXYWXOE2V INFO: TEXT-RmtInf-ST-HACXSDGAYXYWXOE2V6NO WAIZMEDIA LLC IID: 20260106121000248P1BPEAS65693003647 RECD: 21:41:38 TRN: 2231922006GB",2543.79,MISC_CREDIT,3487.14,,
DEBIT,01/05/2026,"Zelle payment to David Rau 27585462237",-70.00,QUICKPAY_DEBIT,943.35,,
DEBIT,01/05/2026,"PAYPAL *CANVA 416-131-8870 DE                01/04",-6.72,DEBIT_CARD,1013.35,,
DEBIT,01/05/2026,"Online Realtime Transfer to Gabes Personal  6302 transaction#: 27578008777 reference#: 9578008777RX 01/05",-100.00,ACCT_XFER,1020.07,,
DEBIT,01/02/2026,"ORIG CO NAME:Wise Inc               ORIG ID:9453233521 DESC DATE:260102 CO ENTRY DESCR:WISE      SEC:CCD    TRACE#:021000027034813 EED:260102   IND ID:TrnWise                      IND NAME:Waiz Media                                                                                                   86484886 TRN: 0027034813TC",-481.00,MISC_DEBIT,1120.07,,
DEBIT,01/02/2026,"ORIG CO NAME:Wise Inc               ORIG ID:9453233521 DESC DATE:260102 CO ENTRY DESCR:WISE      SEC:CCD    TRACE#:021000027034829 EED:260102   IND ID:TrnWise                      IND NAME:Waiz Media                                                                                                   86485060 TRN: 0027034829TC",-652.40,MISC_DEBIT,1601.07,,
DEBIT,01/02/2026,"Zelle payment to Simone 27565813780",-1865.00,QUICKPAY_DEBIT,2253.47,,
DEBIT,01/02/2026,"ORIG CO NAME:Wise Inc               ORIG ID:9453233521 DESC DATE:260102 CO ENTRY DESCR:WISE      SEC:CCD    TRACE#:021000026947292 EED:260102   IND ID:TrnWise                      IND NAME:Waiz Media                                                                                                   86479744 TRN: 0026947292TC",-460.00,MISC_DEBIT,4118.47,,
DEBIT,01/02/2026,"ORIG CO NAME:Wise Inc               ORIG ID:9453233521 DESC DATE:260102 CO ENTRY DESCR:WISE      SEC:CCD    TRACE#:021000026947274 EED:260102   IND ID:TrnWise                      IND NAME:Waiz Media                                                                                                   86479607 TRN: 0026947274TC",-541.00,MISC_DEBIT,4578.47,,
DEBIT,01/02/2026,"ORIG CO NAME:Wise Inc               ORIG ID:9453233521 DESC DATE:260102 CO ENTRY DESCR:WISE      SEC:CCD    TRACE#:021000026947256 EED:260102   IND ID:TrnWise                      IND NAME:Waiz Media                                                                                                   86479527 TRN: 0026947256TC",-573.00,MISC_DEBIT,5119.47,,
DEBIT,01/02/2026,"Zelle payment to Walters JPM99c0pczh8",-1003.00,CHASE_TO_PARTNERFI,5692.47,,
DEBIT,01/02/2026,"TWILIO INC TWILIO.COM CA                     01/02",-91.49,DEBIT_CARD,6695.47,,
DEBIT,01/02/2026,"Zelle payment to Simone 27354578696",-43.00,QUICKPAY_DEBIT,6786.96,,
CREDIT,01/02/2026,"ORIG CO NAME:STRIPE                 ORIG ID:4270465600 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:111000026015706 EED:260102   IND ID:ST-J0I4E6V1M9Q2              IND NAME:GABRIEL GOERTZEN TRN: 0026015706TC",485.20,ACH_CREDIT,6829.96,,
DEBIT,12/31/2025,"MONTHLY SERVICE FEE",-15.00,FEE_TRANSACTION,6344.76,,
DEBIT,12/31/2025,"CLOSEBOT WWW.CLOSEBOT. WA                    12/31",-40.40,DEBIT_CARD,6359.76,,
DEBIT,12/31/2025,"TABEXTEND.COM SOLLENTUNA                     12/30",-8.00,DEBIT_CARD,6400.16,,
CREDIT,12/31/2025,"ORIG CO NAME:STRIPE                 ORIG ID:4270465600 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:111000027892869 EED:251231   IND ID:ST-C8I1Z1Z4Z9Z7              IND NAME:GABRIEL GOERTZEN TRN: 3657892869TC",2427.20,ACH_CREDIT,6408.16,,
DEBIT,12/30/2025,"WWW.MAKE.COM WWW.MAKE.COM NY                 12/30",-64.71,DEBIT_CARD,3980.96,,
DEBIT,12/30/2025,"HIGHLEVEL INC. GOHIGHLEVEL.C TX              12/29",-100.00,DEBIT_CARD,4045.67,,
CREDIT,12/30/2025,"ORIG CO NAME:STRIPE                 ORIG ID:4270465600 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:111000023696624 EED:251230   IND ID:ST-T7J8T6G4T8D0              IND NAME:GABRIEL GOERTZEN TRN: 3643696624TC",1250.00,ACH_CREDIT,4145.67,,
DEBIT,12/29/2025,"Online Realtime Transfer to Gabes Personal  6302 transaction#: 27500454006 reference#: 9500454006RX 12/29",-500.00,ACCT_XFER,2895.67,,
DEBIT,12/29/2025,"Zelle payment to Yasmin 27500434904",-210.00,QUICKPAY_DEBIT,3395.67,,
DEBIT,12/29/2025,"ORIG CO NAME:AMERICAN EXPRESS       ORIG ID:9493560001 DESC DATE:251229 CO ENTRY DESCR:ACH PMT   SEC:CCD    TRACE#:021000024714871 EED:251229   IND ID:A0286                        IND NAME:GABRIEL GOERTZEN                                                                                             AM TRN: 3634714871TC",-1312.26,ACH_DEBIT,3605.67,,
DEBIT,12/29/2025,"WWW.MAKE.COM WWW.MAKE.COM NY                 12/28",-10.13,DEBIT_CARD,4917.93,,
DEBIT,12/29/2025,"TWILIO INC TWILIO.COM CA                     12/27",-90.32,DEBIT_CARD,4928.06,,
DEBIT,12/24/2025,"TWILIO INC TWILIO.COM CA                     12/24",-90.23,DEBIT_CARD,5018.38,,
DEBIT,12/23/2025,"WWW.MAKE.COM WWW.MAKE.COM NY                 12/23",-10.13,DEBIT_CARD,5108.61,,
DEBIT,12/23/2025,"M&M HELTON ENTERPRIS HOTPROSPECTOR NV        12/22",-40.00,DEBIT_CARD,5118.74,,
DEBIT,12/22/2025,"HIGHLEVEL INC. GOHIGHLEVEL.C TX              12/21",-100.00,DEBIT_CARD,5158.74,,
DEBIT,12/22/2025,"WEBFLOW.COM WEBFLOW.COM CA                   12/21",-29.00,DEBIT_CARD,5258.74,,
DEBIT,12/22/2025,"WWW.MAKE.COM WWW.MAKE.COM NY                 12/20",-10.13,DEBIT_CARD,5287.74,,
DEBIT,12/22/2025,"TWILIO INC TWILIO.COM CA                     12/21",-90.09,DEBIT_CARD,5297.87,,
DEBIT,12/22/2025,"NOTION LABS, INC. NOTION.SO CA               12/19",-22.00,DEBIT_CARD,5387.96,,
DEBIT,12/22/2025,"TWILIO INC TWILIO.COM CA                     12/20",-90.08,DEBIT_CARD,5409.96,,
DEBIT,12/19/2025,"HIGHLEVEL AGENCY SUB GOHIGHLEVEL.C TX        12/18",-297.00,DEBIT_CARD,5500.04,,
DEBIT,12/19/2025,"WWW.MAKE.COM WWW.MAKE.COM NY                 12/18",-10.13,DEBIT_CARD,5797.04,,
DEBIT,12/19/2025,"TWILIO INC TWILIO.COM CA                     12/18",-90.01,DEBIT_CARD,5807.17,,
DEBIT,12/18/2025,"TWILIO INC TWILIO.COM CA                     12/17",-90.09,DEBIT_CARD,5897.18,,
DEBIT,12/17/2025,"WWW.MAKE.COM WWW.MAKE.COM NY                 12/17",-10.13,DEBIT_CARD,5987.27,,
DEBIT,12/17/2025,"CLOSEBOT WWW.CLOSEBOT. WA                    12/16",-197.00,DEBIT_CARD,5997.40,,
DEBIT,12/16/2025,"Zelle payment to Simone 27354593313",-253.00,QUICKPAY_DEBIT,6194.40,,
DEBIT,12/16/2025,"HIGHLEVEL INC. GOHIGHLEVEL.C TX              12/16",-100.00,DEBIT_CARD,6447.40,,
DEBIT,12/16/2025,"WWW.MAKE.COM WWW.MAKE.COM NY                 12/16",-10.10,DEBIT_CARD,6547.40,,
DEBIT,12/16/2025,"TWILIO INC TWILIO.COM CA                     12/16",-90.01,DEBIT_CARD,6557.50,,
DEBIT,12/15/2025,"WWW.MAKE.COM WWW.MAKE.COM NY                 12/14",-10.10,DEBIT_CARD,6647.51,,
DEBIT,12/15/2025,"CLOSEBOT WWW.CLOSEBOT. WA                    12/14",-40.08,DEBIT_CARD,6657.61,,
DEBIT,12/15/2025,"TWILIO INC TWILIO.COM CA                     12/13",-90.03,DEBIT_CARD,6697.69,,
CREDIT,12/15/2025,"ORIG CO NAME:STRIPE                 ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000018307543 EED:251215   IND ID:ST-W9U7Q1V7O8C9              IND NAME:GABRIEL GOERTZEN TRN: 3498307543TC",1096.93,ACH_CREDIT,6787.72,,
DEBIT,12/12/2025,"WWW.MAKE.COM WWW.MAKE.COM NY                 12/12",-10.10,DEBIT_CARD,5690.79,,
DEBIT,12/12/2025,"TWILIO INC TWILIO.COM CA                     12/12",-90.05,DEBIT_CARD,5700.89,,
DEBIT,12/11/2025,"TWILIO INC TWILIO.COM CA                     12/10",-90.02,DEBIT_CARD,5790.94,,
DEBIT,12/10/2025,"Online Realtime Transfer to Gabes Personal  6302 transaction#: 27278570156 reference#: 9278570156RX 12/10",-1000.00,ACCT_XFER,5880.96,,
DEBIT,12/10/2025,"HIGHLEVEL INC. GOHIGHLEVEL.C TX              12/10",-100.00,DEBIT_CARD,6880.96,,
DEBIT,12/10/2025,"TWILIO INC TWILIO.COM CA                     12/09",-91.88,DEBIT_CARD,6980.96,,
CREDIT,12/10/2025,"REAL TIME PAYMENT CREDIT RECD FROM ABA/CONTR BNK-121000248  FROM: GABRIEL GOERTZEN/STRIPE PAYMENTS COMPAN REF: ST-OPKCTUSE25ZABLT9H INFO: TEXT-RmtInf-ST-OPKCTUSE25ZABLT9HFEP WAIZMEDIA LLC IID: 20251210121000248P1BPFAS64914741674 RECD: 01:09:43 TRN: 2623882343GB",2764.13,MISC_CREDIT,7072.84,,
DEBIT,12/08/2025,"ONLINE DOMESTIC WIRE FEE",-25.00,FEE_TRANSACTION,4308.71,,
DEBIT,12/08/2025,"ONLINE DOMESTIC WIRE TRANSFER VIA: COMMUNITY FSB/026073150 A/C: ISAQUE BORGES PAULINO SILVA NEW YORK NY 10016 US IMAD: 1208MMQFMP2L011464 TRN: 3243305342ES 12/08",-1500.00,WIRE_OUTGOING,4333.71,,
DEBIT,12/08/2025,"CLOSEBOT WWW.CLOSEBOT. WA                    12/07",-40.16,DEBIT_CARD,5833.71,,
DEBIT,12/08/2025,"SLACK T07E9KEFKEH SLACK.COM CA               12/07",-121.62,DEBIT_CARD,5873.87,,
DEBIT,12/08/2025,"Zelle payment to Josh UK JPM99bxg9qgy",-30.00,CHASE_TO_PARTNERFI,5995.49,,
DEBIT,12/08/2025,"M&M HELTON ENTERPRIS HOTPROSPECTOR NV        12/07",-372.75,DEBIT_CARD,6025.49,,
DEBIT,12/08/2025,"TWILIO INC TWILIO.COM CA                     12/06",-90.05,DEBIT_CARD,6398.24,,
CREDIT,12/08/2025,"REAL TIME PAYMENT CREDIT RECD FROM ABA/CONTR BNK-121000248  FROM: GABRIEL GOERTZEN/STRIPE PAYMENTS COMPAN REF: ST-9NKNCY5RQ30JPQ3AD INFO: TEXT-RmtInf-ST-9NKNCY5RQ30JPQ3ADIIS WAIZMEDIA LLC IID: 20251206121000248P1BPEAS64914889751 RECD: 19:29:21 TRN: 1786402340GD",1711.81,MISC_CREDIT,6488.29,,
